title,rate,image,director,date
신은 죽지 않았다 3: 어둠 속의 빛,8.31,https://movie-phinf.pstatic.net/20180612_194/1528767277354DKz2r_JPEG/movie_image.jpg?type=m99_141_2,마이클 메이슨,2018.07.19 
애비규환,6.92,https://movie-phinf.pstatic.net/20201026_228/1603688295184ISYNW_JPEG/movie_image.jpg?type=m99_141_2,최하나,2020.11.12 
예수는 역사다,7.79,https://movie-phinf.pstatic.net/20170529_267/1496019021214jtmxd_JPEG/movie_image.jpg?type=m99_141_2,존 건,2017.07.13 
천로역정: 천국을 찾아서,8.83,https://movie-phinf.pstatic.net/20190624_263/1561360740472v2Mfv_JPEG/movie_image.jpg?type=m99_141_2,로버트 페르난데스,2019.06.13 
UFO 스케치,9.17,https://movie-phinf.pstatic.net/20210225_292/1614228206718j9AkY_JPEG/movie_image.jpg?type=m99_141_2,김진욱,2021.03.04 
극장판 소드 아트 온라인 -오디널 스케일-,8.95,https://movie-phinf.pstatic.net/20170203_137/1486084416321ESQw3_JPEG/movie_image.jpg?type=m99_141_2,이토 토모히코,2017.02.23 
남매의 여름밤,8.94,https://movie-phinf.pstatic.net/20200721_100/1595307510654a6eNC_JPEG/movie_image.jpg?type=m99_141_2,윤단비,2020.08.20 
너의 췌장을 먹고 싶어,8.09,https://movie-phinf.pstatic.net/20170927_210/1506482182997qLEa4_JPEG/movie_image.jpg?type=m99_141_2,츠키카와 쇼,2017.10.25 
더 테이블,8.01,https://movie-phinf.pstatic.net/20170803_104/1501721449407bMw1k_JPEG/movie_image.jpg?type=m99_141_2,김종관,2017.08.24 
아수라도,5.99,https://movie-phinf.pstatic.net/20210304_69/1614822106351dblaR_JPEG/movie_image.jpg?type=m99_141_2,윤여창,2021.03.18 
최악의 하루,7.80,https://movie-phinf.pstatic.net/20160712_61/1468283187882s0unW_JPEG/movie_image.jpg?type=m99_141_2,김종관,2016.08.25 
하나와 앨리스,8.12,https://movie-phinf.pstatic.net/20210205_285/1612505917116YXpTz_JPEG/movie_image.jpg?type=m99_141_2,이와이 슌지,2014.07.10 
겁쟁이 페달: 더 무비,9.01,https://movie-phinf.pstatic.net/20151202_53/1449022707963teyUK_JPEG/movie_image.jpg?type=m99_141_2,나가누마 노리히로,2016.01.14 
겁쟁이 페달: 리라이드,9.44,https://movie-phinf.pstatic.net/20151202_245/1449022835220GsF6T_JPEG/movie_image.jpg?type=m99_141_2,나베시마 오사무,2016.01.14 
겁쟁이 페달: 리로드,8.93,https://movie-phinf.pstatic.net/20151202_52/1449022767259zeSFr_JPEG/movie_image.jpg?type=m99_141_2,나베시마 오사무,2016.01.14 
겨울밤에,6.63,https://movie-phinf.pstatic.net/20201116_298/1605510504666cKAqL_JPEG/movie_image.jpg?type=m99_141_2,장우진,2020.12.10 
고질라,6.68,https://movie-phinf.pstatic.net/20140403_81/1396514035426fDfbb_JPEG/movie_image.jpg?type=m99_141_2,가렛 에드워즈,2014.05.15 
교실 안의 야크,9.42,https://movie-phinf.pstatic.net/20200910_92/1599711981305fdQMq_JPEG/movie_image.jpg?type=m99_141_2,파우 초이닝 도르지,2020.09.30 
그 여름 가장 조용한 바다,8.76,https://movie-phinf.pstatic.net/20170627_272/1498555306196it5pl_JPEG/movie_image.jpg?type=m99_141_2,기타노 다케시,2004.08.13 
그리고 방행자,9.53,https://movie-phinf.pstatic.net/20210218_245/1613616413839i0BYa_JPEG/movie_image.jpg?type=m99_141_2,손원경,2021.03.11 
극장판 쿠로코의 농구 라스트 게임,9.10,https://movie-phinf.pstatic.net/20170414_125/1492154333194H9k8h_JPEG/movie_image.jpg?type=m99_141_2,타다 슌스케,2017.04.27 
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람,4.53,https://movie-phinf.pstatic.net/20210204_295/1612419766484OyfWj_JPEG/movie_image.jpg?type=m99_141_2,스에자와 케이,2021.02.25 
기도하는 남자,7.89,https://movie-phinf.pstatic.net/20210324_115/1616551468723GErqJ_JPEG/movie_image.jpg?type=m99_141_2,강동헌,2021.03.24 
너의 새는 노래할 수 있어,8.14,https://movie-phinf.pstatic.net/20200323_292/1584931659805XcQge_JPEG/movie_image.jpg?type=m99_141_2,미야케 쇼 ,2020.04.16 
동경 이야기,8.72,https://movie-phinf.pstatic.net/20140807_285/1407396855353S63rj_JPEG/movie_image.jpg?type=m99_141_2,오즈 야스지로,2014.08.16 
러브 라이브! 더 스쿨 아이돌 무비,8.51,https://movie-phinf.pstatic.net/20150821_231/14401205145729128K_PNG/movie_image.jpg?type=m99_141_2,쿄고쿠 타카히코,2015.09.03 
러브 액츄얼리,8.93,https://movie-phinf.pstatic.net/20191202_278/1575250003279Taafr_JPEG/movie_image.jpg?type=m99_141_2,리차드 커티스,2020.12.16 
만춘,8.19,https://movie-phinf.pstatic.net/20111223_122/1324637849375kwUd5_JPEG/movie_image.jpg?type=m99_141_2,오즈 야스지로,2004.05.28 
미드나잇 버스,8.67,https://movie-phinf.pstatic.net/20210115_75/1610693917244VmoRX_JPEG/movie_image.jpg?type=m99_141_2,타케시타 마사오,2021.02.04 
브레이브 언더 파이어,8.34,https://movie-phinf.pstatic.net/20210309_295/1615268177620WO9Op_JPEG/movie_image.jpg?type=m99_141_2,알렉세이 누즈니,2021.03.17 
사막의 라이온,8.53,https://movie-phinf.pstatic.net/20111222_144/1324498432034dBAmo_JPEG/movie_image.jpg?type=m99_141_2,무스타파 아카드,1981.12.17 
살인광 시대,8.68,https://movie-phinf.pstatic.net/20111221_277/1324462468053JfkSq_JPEG/movie_image.jpg?type=m99_141_2,찰리 채플린,2015.10.13 
스잔나,8.78,https://movie-phinf.pstatic.net/20150420_196/1429513051082Qa6Vp_JPEG/movie_image.jpg?type=m99_141_2,하몽화,1981.07.17 
시티 라이트,9.44,https://movie-phinf.pstatic.net/20150330_34/1427704499540uW3L4_JPEG/movie_image.jpg?type=m99_141_2,찰리 채플린,2015.03.26 
식물도감,8.51,https://movie-phinf.pstatic.net/20180601_210/1527819835110o58FK_JPEG/movie_image.jpg?type=m99_141_2,미키 코이치로,2018.06.21 
썩시드,8.00,https://movie-phinf.pstatic.net/20200117_116/1579248763145S6Hfb_JPEG/movie_image.jpg?type=m99_141_2,차야놉 분프라콥 ,2020.01.09 
안녕하세요,8.93,https://movie-phinf.pstatic.net/20111222_172/1324530884035Ih8ci_JPEG/movie_image.jpg?type=m99_141_2,오즈 야스지로,2004.05.28 
에덴: 로스트 인 뮤직,7.78,https://movie-phinf.pstatic.net/20151007_83/1444183701565IFuVD_JPEG/movie_image.jpg?type=m99_141_2,미아 한센-러브,2015.10.29 
에로스,6.74,https://movie-phinf.pstatic.net/20111222_184/1324546022107iHdDp_JPEG/movie_image.jpg?type=m99_141_2,왕가위,2005.06.30 
열혈남아,7.72,https://movie-phinf.pstatic.net/20111223_66/1324577816239RQoe4_JPEG/movie_image.jpg?type=m99_141_2,이정범,2006.11.09 
오차즈케의 맛,7.70,https://movie-phinf.pstatic.net/20201127_146/1606441017408rhJxS_JPEG/movie_image.jpg?type=m99_141_2,오즈 야스지로,2004.05.28 
일대종사,8.01,https://movie-phinf.pstatic.net/20130722_36/13744580771958S8Jg_JPEG/movie_image.jpg?type=m99_141_2,왕가위,2013.08.22 
지구 최후의 밤,7.48,https://movie-phinf.pstatic.net/20190625_153/1561429790305jIoL8_JPEG/movie_image.jpg?type=m99_141_2,비간,2019.07.25 
질투,7.23,https://movie-phinf.pstatic.net/20150311_95/1426034858277jfRpr_JPEG/movie_image.jpg?type=m99_141_2,필립 가렐,2015.04.09 
초속5센티미터,8.36,https://movie-phinf.pstatic.net/20191115_264/15737816336734R30z_JPEG/movie_image.jpg?type=m99_141_2,신카이 마코토,2017.11.02 
콜드 워,8.26,https://movie-phinf.pstatic.net/20190116_187/15476220698637Uv7t_JPEG/movie_image.jpg?type=m99_141_2,파벨 포리코브스키,2019.02.07 
행복한 라짜로,8.66,https://movie-phinf.pstatic.net/20190530_66/15592076283949St3E_JPEG/movie_image.jpg?type=m99_141_2,알리체 로르와커,2019.06.20 
허트 로커,8.44,https://movie-phinf.pstatic.net/20210302_125/1614661968971XyIiF_JPEG/movie_image.jpg?type=m99_141_2,캐서린 비글로우,2021.03.11 
3개의 얼굴들,8.67,https://movie-phinf.pstatic.net/20200827_116/15984940709696r6FP_JPEG/movie_image.jpg?type=m99_141_2,자파르 파나히,2021.03.04 
건축학개론,8.67,https://movie-phinf.pstatic.net/20120227_164/1330332687398PQ1U3_JPEG/movie_image.jpg?type=m99_141_2,이용주,2012.03.22 
늑대소년,8.66,https://movie-phinf.pstatic.net/20121015_190/1350280084768nSVfX_JPEG/movie_image.jpg?type=m99_141_2,조성희,2012.12.06 
맹크,7.17,https://movie-phinf.pstatic.net/20201104_244/1604453688064YHNPF_JPEG/movie_image.jpg?type=m99_141_2,데이빗 핀처,2020.12.04 
미드나이트 스카이,6.92,https://movie-phinf.pstatic.net/20201029_48/1603933692802GfEyT_JPEG/movie_image.jpg?type=m99_141_2,조지 클루니,2020.12.09 
미스 사이공: 25주년 특별 공연,9.20,https://movie-phinf.pstatic.net/20161103_256/1478160313724rHuDS_JPEG/movie_image.jpg?type=m99_141_2,브렛 설리반,2016.11.24 
소년시절의 너,9.39,https://movie-phinf.pstatic.net/20200710_218/15943587674860cQNT_JPEG/movie_image.jpg?type=m99_141_2,증국상,2021.02.10 
아가씨,7.14,https://movie-phinf.pstatic.net/20160523_204/14639851237601hEGQ_JPEG/movie_image.jpg?type=m99_141_2,박찬욱,2016.06.01 
테넷,8.17,https://movie-phinf.pstatic.net/20200728_86/15959209130236RePy_JPEG/movie_image.jpg?type=m99_141_2,크리스토퍼 놀란,2020.08.26 
파수꾼,9.19,https://movie-phinf.pstatic.net/20111223_299/1324632673906KHPrP_JPEG/movie_image.jpg?type=m99_141_2,윤성현,2011.03.03 
프라미싱 영 우먼,8.44,https://movie-phinf.pstatic.net/20210208_83/1612747165478tIX9H_JPEG/movie_image.jpg?type=m99_141_2,에머랄드 펜넬,2021.02.24 
